Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
1636,2 BHK Ready to Occupy Flat for sale Narendra Nagar,2 BHK flat available for sale in Nagpur in the prime location of Narendra Nagar. This flat for resale is a choice property. This ready to move flat in Narendra Nagar can be availed at a reasonable price of INR 58 Lac. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities.,58 Lac ,5273,nagpur,825 sqft,Ready to Move,3 out of 4,Resale,Unfurnished,North,Main Road,,2,2,,Co-operative Society,,,
1637,2 BHK Ready to Occupy Flat for sale Manewada Square,"Manewada Square, Nagpur has an appealing 2 BHK flat for sale with various amenities. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in Manewada Square comes at an affordable price of INR 42 Lac. This premium semi-furnished flat spells quality and comfort at a competitive price. The property is constructed with proximity to major landmarks like the property is closed to the metro station, atm, bank, hospital, etc.",42 Lac ,3640,nagpur,790 sqft,Ready to Move,1 out of 3,Resale,Semi-Furnished,East,Main Road,,2,2,"1 Covered,",Freehold,,,
1638,2 BHK Ready to Occupy Flat for sale in Shiv Kailasa Mihan,"This attractive 2 BHK apartment can be found for sale in Mihan, Nagpur. Enjoying a prime location, this property is housed in the Shiv Kailasa society. This flat for resale is a choice property. This ready to move flat in Mihan can be availed at a reasonable price of INR 56.5 Lac. The flat is unfurnished and makes for an ideal choice for any family.",56.5 Lac ,4030,nagpur,,Ready to Move,4 out of 16,Resale,Unfurnished,,,Shiv Kailasa,2,1,,,1402 sqft,,
1639,3 BHK Ready to Occupy Flat for sale in Dreamland Glorious Plaza Besa,"Have a look at this immaculate 3 BHK flat for sale in Besa, Nagpur. Situated in the excellent Dreamland Glorious Plaza township. The flat enjoys a prime location. This apartment is a property of choice for resale. This apartment ready to move in the Besa is available for an attractive price of INR 47 Lac. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities. near poddar school are some major landmarks near the apartment.",47 Lac ,3837,nagpur,1225 sqft,Ready to Move,5 out of 6,Resale,Unfurnished,,,Dreamland Glorious Plaza,2,3,,,,,
1640,2 BHK Ready to Occupy Flat for sale Koradi Road,"This gorgeous 2 BHK Flat is available for sale in Koradi Road, Nagpur. Your search ends here, because this flat for resale is among the best bargains in town. Located in Koradi Road, this ready to move apartment is sold at a fair selling price of INR 16 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience. Some of the landmarks in the vicinity include dominos pizza koradi road.",16 Lac ,1684,nagpur,,Ready to Move,4 out of 7,Resale,Unfurnished,West,Main Road,,2,2,,Freehold,950 sqft,,
1641,2 BHK Ready to Occupy Flat for sale Mankapur,"This exquisite 2 BHK Flat is offered for sale in Mankapur, Nagpur. This flat for resale is a choice property. You can buy this ready to move flat in Mankapur at a reasonable price of INR 35 Lac. Available in unfurnished state, this flat is a great buy.",Call for Price,,nagpur,1100 sqft,Ready to Move,1 out of 3,Resale,Unfurnished,East,"Garden/Park, Main Road",,2,2,,,,,
1642,3 BHK Ready to Occupy Flat for sale Bajaj Nagar,3 BHK flat available for sale in Nagpur in the prime location of Bajaj Nagar. This apartment for resale is a great choice. This ready to move flat in Bajaj Nagar comes at an affordable price of INR 1.15 Cr. The flat is sold in unfurnished condition. bajaj nagar square are some of the well-known landmarks in this locality.,1.15 Cr ,6628,nagpur,1400 sqft,Ready to Move,5 out of 6,Resale,Unfurnished,East,,,3,2,"1 Covered,",Freehold,,,
1643,2 BHK Ready to Occupy Flat for sale Dighori Road,"Up for immediate sale is a 2 BHK apartment in Dighori Road, Nagpur. Don't miss this bargain flat for sale. This flat is an attractive property for resale. This ready to move flat is offered at an economical price of INR 39 Lac. The flat is uniquely designed to enhance the living style. It is semi-furnished, studded with all the basic facilities.",39 Lac ,4588,nagpur,700 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,East,Main Road,,2,1,101 Covered,Freehold,,,
1644,3 BHK Ready to Occupy Flat for sale Narendra Nagar,"Narendra Nagar, Nagpur has an appealing 3 BHK flat for sale with various amenities. Invest your valuable money in this flat that is for sale. This ready to move flat in Narendra Nagar can be availed at a reasonable price of INR 1.20 Cr. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities. the property is closed to the metro station, atm, bank, hospital, etc are some of the key nearby landmarks.",1.20 Cr ,8219,nagpur,,Ready to Move,3 out of 12,New Property,Unfurnished,East,"Garden/Park, Main Road",,3,3,"1 Covered,",Freehold,1460 sqft,,
1645,3 BHK Ready to Occupy Flat for sale Mahal,"This beautiful 3 BHK Flat is available for sale in Mahal, Nagpur. This flat for resale has a desirable location. This ready to move flat in Mahal comes at an affordable price of INR 90 Lac. The flat is sold in unfurnished condition.",90 Lac ,5625,nagpur,,Ready to Move,3 out of 4,Resale,Unfurnished,,,,2,,,,1600 sqft,,
